data,numero_spedizioni
2022-10-12,399146
2022-10-13,382519
2022-10-14,353484
2022-10-15,142
2022-10-16,29720
2022-10-17,487780
2022-10-18,414903
2022-10-19,390245
2022-10-20,368087
2022-10-21,343041
2022-10-22,202
2022-10-23,25596
2022-10-24,480936
2022-10-25,412371
2022-10-26,376378
2022-10-27,357757
2022-10-28,332641
2022-10-29,183
2022-10-30,22064
2022-10-31,377096
2022-11-01,694
2022-11-02,455098
2022-11-03,404744
2022-11-04,389280
2022-11-05,243
2022-11-06,31031
2022-11-07,507598
2022-11-08,438550
2022-11-09,407471
2022-11-10,395968
2022-11-11,344030
2022-11-12,202
2022-11-13,29648
2022-11-14,514677
2022-11-15,450652
2022-11-16,413836
2022-11-17,402637
2022-11-18,392240
2022-11-19,232
2022-11-20,34760
2022-11-21,568310
2022-11-22,475328
2022-11-23,471717
2022-11-24,461957
2022-11-25,461672
2022-11-26,446
2022-11-27,86833
2022-11-28,678357
2022-11-29,562855
2022-11-30,488446
2022-12-01,488396
2022-12-02,387700
2022-12-03,542
2022-12-04,62801
2022-12-05,633002
2022-12-06,538417
2022-12-07,477056
2022-12-08,21168
2022-12-09,524044
2022-12-10,664
2022-12-11,70951
2022-12-12,691244
2022-12-13,582907
2022-12-14,542580
2022-12-15,510207
2022-12-16,494314
2022-12-17,990
2022-12-18,69437
2022-12-19,654186
2022-12-20,526131
2022-12-21,456028
2022-12-22,375069
2022-12-23,261470
2022-12-24,289
2022-12-25,0
2022-12-26,0
2022-12-27,363395
2022-12-28,286431
2022-12-29,242828
2022-12-30,198441
2022-12-31,183
2023-01-01,5
2023-01-02,286135
2023-01-03,298415
2023-01-04,279421
2023-01-05,282956
2023-01-06,244
2023-01-07,21
2023-01-08,45796
2023-01-09,580112
2023-01-10,470816
2023-01-11,432943
2023-01-12,410648
2023-01-13,392716
2023-01-14,814
2023-01-15,25068
2023-01-16,535727
2023-01-17,456001
2023-01-18,420950
2023-01-19,400570
2023-01-20,373176
2023-01-21,244
2023-01-22,23555
2023-01-23,514081
2023-01-24,441558
2023-01-25,411304
2023-01-26,392869
2023-01-27,369949
2023-01-28,240
2023-01-29,23015
2023-01-30,518758
2023-01-31,411736
2023-02-01,407811
2023-02-02,396431
2023-02-03,371770
2023-02-04,224
2023-02-05,18704
2023-02-06,518473
2023-02-07,432827
2023-02-08,408634
2023-02-09,371036
2023-02-10,365168
2023-02-11,208
2023-02-12,21248
2023-02-13,511326
2023-02-14,409945
2023-02-15,392589
2023-02-16,369053
2023-02-17,355446
2023-02-18,137
2023-02-19,16835
2023-02-20,487246
2023-02-21,398453
2023-02-22,386472
2023-02-23,374250
2023-02-24,350313
2023-02-25,132
2023-02-26,21142
2023-02-27,498200
2023-02-28,405640
2023-03-01,412209
2023-03-02,397301
2023-03-03,362549
2023-03-04,175
2023-03-05,16554
2023-03-06,518530
2023-03-07,445565
2023-03-08,396647
2023-03-09,403117
2023-03-10,366026
2023-03-11,147
2023-03-12,18114
2023-03-13,522480
2023-03-14,448080
2023-03-15,421496
2023-03-16,405375
2023-03-17,372131
2023-03-18,177
2023-03-19,17132
2023-03-20,534122
2023-03-21,439115
2023-03-22,426094
2023-03-23,398986
2023-03-24,380032
2023-03-25,323
2023-03-26,20355
2023-03-27,537631
2023-03-28,468057
2023-03-29,430584
2023-03-30,398222
2023-03-31,363492
2023-04-01,112
2023-04-02,21884
2023-04-03,547442
2023-04-04,462933
2023-04-05,425637
2023-04-06,382395
2023-04-07,264315
2023-04-08,45
2023-04-09,22
2023-04-10,0
2023-04-11,543057
2023-04-12,445790
2023-04-13,423524
2023-04-14,394976
2023-04-15,693
2023-04-16,16497
2023-04-17,543874
2023-04-18,463095
2023-04-19,446023
2023-04-20,420604
2023-04-21,389435
2023-04-22,241
2023-04-23,24666
2023-04-24,420220
2023-04-25,615
2023-04-26,559214
2023-04-27,454544
2023-04-28,412322
2023-04-29,177
2023-04-30,1
2023-05-01,10
2023-05-02,625238
2023-05-03,534049
2023-05-04,484019
2023-05-05,445045
2023-05-06,213
2023-05-07,23016
2023-05-08,573051
2023-05-09,504222
2023-05-10,484437
2023-05-11,463658
2023-05-12,431379
2023-05-13,622
2023-05-14,29938
2023-05-15,580908
2023-05-16,479073
2023-05-17,452517
2023-05-18,397004
2023-05-19,407533
2023-05-20,312
2023-05-21,22183
2023-05-22,555029
2023-05-23,478064
2023-05-24,458139
2023-05-25,453281
2023-05-26,395762
2023-05-27,221
2023-05-28,20342
2023-05-29,506807
2023-05-30,465045
2023-05-31,430929
2023-06-01,434614
2023-06-02,142
2023-06-03,291
2023-06-04,23430
2023-06-05,662732
2023-06-06,526688
2023-06-07,479151
2023-06-08,432480
2023-06-09,410408
2023-06-10,358
2023-06-11,19554
2023-06-12,562849
2023-06-13,481670
2023-06-14,457063
2023-06-15,428844
2023-06-16,386333
2023-06-17,257
2023-06-18,17947
2023-06-19,550254
2023-06-20,469765
2023-06-21,437615
2023-06-22,416727
2023-06-23,380878
2023-06-24,198
2023-06-25,20750
2023-06-26,529072
2023-06-27,455524
2023-06-28,428883
2023-06-29,403687
2023-06-30,397728
2023-07-01,366
2023-07-02,21169
2023-07-03,546964
2023-07-04,482642
2023-07-05,451120
2023-07-06,427128
2023-07-07,394043
2023-07-08,702
2023-07-09,31468
2023-07-10,551850
2023-07-11,476480
2023-07-12,460360
2023-07-13,442644
2023-07-14,378109
2023-07-15,308
2023-07-16,26699
2023-07-17,538254
2023-07-18,469076
2023-07-19,435860
2023-07-20,403523
2023-07-21,391618
2023-07-22,523
2023-07-23,16243
2023-07-24,528098
2023-07-25,451240
2023-07-26,430765
2023-07-27,415785
2023-07-28,375877
2023-07-29,320
2023-07-30,18531
2023-07-31,508519
2023-08-01,457098
2023-08-02,423676
2023-08-03,375493
2023-08-04,324241
2023-08-05,333
2023-08-06,13497
2023-08-07,437562
2023-08-08,364603
2023-08-09,324890
2023-08-10,264119
2023-08-11,218832
2023-08-12,395
2023-08-13,16
2023-08-14,230056
2023-08-15,88
2023-08-16,293804
2023-08-17,243474
2023-08-18,215610
2023-08-19,170
2023-08-20,13967
2023-08-21,372906
2023-08-22,332775
2023-08-23,308412
2023-08-24,280856
2023-08-25,273095
2023-08-26,241
2023-08-27,14250
2023-08-28,451184
2023-08-29,429569
2023-08-30,409122
2023-08-31,362988
2023-09-01,361370
2023-09-02,261
2023-09-03,19657
2023-09-04,523135
2023-09-05,439086
2023-09-06,421357
2023-09-07,382697
2023-09-08,376643
2023-09-09,195
2023-09-10,19808
2023-09-11,521068
2023-09-12,434496
2023-09-13,416883
2023-09-14,392348
2023-09-15,373984
2023-09-16,261
2023-09-17,18012
2023-09-18,537510
2023-09-19,439581
2023-09-20,413749
2023-09-21,398821
2023-09-22,380365
2023-09-23,163
2023-09-24,21829
2023-09-25,536550
2023-09-26,446745
2023-09-27,418378
2023-09-28,405008
2023-09-29,372545
2023-09-30,213
2023-10-01,23925
2023-10-02,544269
2023-10-03,447797
2023-10-04,424677
2023-10-05,421776
2023-10-06,407000
2023-10-07,169
2023-10-08,27501
2023-10-09,542112
2023-10-10,468375
2023-10-11,442405
2023-10-12,425387
2023-10-13,385931
2023-10-14,134
2023-10-15,25798
2023-10-16,536469
2023-10-17,445024
2023-10-18,423895
2023-10-19,404442
2023-10-20,331676
2023-10-21,218
2023-10-22,25237
2023-10-23,557473
2023-10-24,449877
2023-10-25,425824
2023-10-26,397484
2023-10-27,381828
2023-10-28,277
2023-10-29,21713
2023-10-30,539116
2023-10-31,440061
2023-11-01,288
2023-11-02,501728
2023-11-03,433154
2023-11-04,508
2023-11-05,25814
2023-11-06,602250
2023-11-07,504640
2023-11-08,452617
2023-11-09,436076
2023-11-10,410592
2023-11-11,408
2023-11-12,24110
2023-11-13,601222
2023-11-14,502049
2023-11-15,460736
2023-11-16,440608
2023-11-17,361135
2023-11-18,448
2023-11-19,40359
2023-11-20,667426
2023-11-21,540526
2023-11-22,496710
2023-11-23,490372
2023-11-24,501730
2023-11-25,700
2023-11-26,76824
2023-11-27,752853
2023-11-28,616450
2023-11-29,540745
2023-11-30,513651
2023-12-01,482173
2023-12-02,1344
2023-12-03,39376
2023-12-04,669428
2023-12-05,558028
2023-12-06,524795
2023-12-07,484148
2023-12-08,489
2023-12-09,1360
2023-12-10,100428
2023-12-11,778444
2023-12-12,610466
2023-12-13,551436
2023-12-14,552712
2023-12-15,508702
2023-12-16,1036
2023-12-17,79360
2023-12-18,740179
2023-12-19,561477
2023-12-20,484015
2023-12-21,382810
2023-12-22,280011
2023-12-23,1350
2023-12-24,1
2023-12-25,3
2023-12-26,11
2023-12-27,415994
2023-12-28,287712
2023-12-29,253447
2023-12-30,332
2023-12-31,0
2024-01-01,21
2024-01-02,371089
2024-01-03,338641
2024-01-04,321359
2024-01-05,317254
2024-01-06,96
2024-01-07,29020
2024-01-08,547413
2024-01-09,473783
2024-01-10,432055
2024-01-11,413812
2024-01-12,388506
2024-01-13,211
2024-01-14,21569
2024-01-15,550176
2024-01-16,469588
2024-01-17,416252
2024-01-18,400277
2024-01-19,376952
2024-01-20,259
2024-01-21,17843
2024-01-22,537306
2024-01-23,456647
2024-01-24,408555
2024-01-25,392221
2024-01-26,363888
2024-01-27,222
2024-01-28,18243
2024-01-29,519497
2024-01-30,440605
2024-01-31,399191
2024-02-01,401230
2024-02-02,379917
2024-02-03,318
2024-02-04,21811
2024-02-05,539354
2024-02-06,452240
2024-02-07,418067
2024-02-08,385170
2024-02-09,365572
2024-02-10,213
2024-02-11,15140
2024-02-12,512586
2024-02-13,441907
2024-02-14,395370
2024-02-15,370192
2024-02-16,339928
2024-02-17,1408
2024-02-18,18456
2024-02-19,509366
2024-02-20,384986
2024-02-21,407882
2024-02-22,380882
2024-02-23,321542
2024-02-24,249
2024-02-25,16794
2024-02-26,512896
2024-02-27,426901
2024-02-28,402247
2024-02-29,363167
